Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	44	20.85308056872038	3.2918053075565973E-25	CSF1R, CDKN1A, HSP90AB1, HDAC1, GSTP1, MPO, TNF, RELA, EGFR, IGF1R, IKBKB, RPS6KA3, MAPK8, ERBB2, RPS6KA1, ADORA1, PIM1, AKT1, CTSH, CD38, MCL1, SNCA, DAPK1, PLK1, BRAF, MIF, MMP9, SIRT1, IL2, MTOR, NFKB1, VEGFA, BMP4, HCK, IL6, RPS6KB1, AXL, CCNG1, CAT, PDE3A, BCL2, CDK1, ERCC5, BCL2L1	211	540	19453	7.512129190802176	9.961002860666263E-22	9.961002860666263E-22	8.970169463091728E-22
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	33	15.639810426540285	8.660675420355342E-24	CDKN1A, HSP90AB1, MAOB, ABAT, TNFRSF11B, AHR, TYMS, PTGS2, TNF, RELA, CCND1, ABL1, HMOX1, CD38, SNCA, SREBF1, ABCC1, JUN, ACE, STAT1, BAD, MMP2, IGFBP2, SOD1, ADAM17, RPS6KB1, LCK, CDK4, CAT, PDE3A, BCL2, CDK1, PPARG	211	277	19453	10.98343798655192	2.6207203821995264E-20	1.3103601910997632E-20	1.1800170260234154E-20
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	38	18.009478672985782	2.114068596973319E-22	APP, ROCK2, PIK3CD, MYLK, IKBKB, MAPK8, NUAK1, CHEK2, ERBB2, CHEK1, RPS6KA1, ABL1, PIM1, AKT1, NEK2, CTSG, EPHB2, ROS1, MAP2K1, SYK, CSNK2A1, DAPK1, IGFBP3, NEK6, INSR, PRKCD, PLK1, BRAF, MTOR, CDC25B, MAPK10, HCK, CDK6, LCK, CDK4, CDK2, CDK1, FGFR1	211	444	19453	7.890504248324153	6.397171574441263E-19	2.1323905248137543E-19	1.9202789755840982E-19
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	20	9.47867298578199	1.2405713529959345E-17	SREBF1, G6PD, ST6GAL1, GABBR1, VCAM1, MAOB, BAD, ABAT, TYMS, TNF, IL2, SOD1, IGF1R, RGS4, CCND1, RPS6KB1, TBXAS1, CAT, CDK1, PPARA	211	113	19453	16.317577486054606	3.753968914165698E-14	8.788613315310509E-15	7.914398970330845E-15
GOTERM_BP_DIRECT	GO:0007165~signal transduction	54	25.59241706161137	1.4521832973084118E-17	CXCL8, PIK3CD, HMGB1, IGF1R, NR3C2, RPS6KA3, CCND3, HPGDS, PLAU, ADORA3, NAMPT, RPS6KA1, ADORA1, CD38, AKT1, IGFBP1, MAP2K1, IGFBP5, CSNK2A1, IGFBP4, DAPK1, PDE4D, IGFBP2, PRKCD, AR, PPARG, MET, PTGES, CSF1R, CHRNA3, CHRNA7, TNFRSF11B, HIF1A, EGFR, MAPK8, ERBB2, CXCR2, STAT6, IGFBP6, NAE1, CREBBP, STAT1, STAT3, BRAF, MAPK14, MAPK10, BMP1, CDK6, RPS6KB1, AXL, CDK4, CDK2, PDE3A, NOX1	211	1307	19453	3.8090993810216225	4.394306657655254E-14	8.788613315310509E-15	7.914398970330845E-15
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	35	16.587677725118482	9.511949908994391E-17	CSF1R, HDAC1, CHRNA7, RELA, EGFR, IGF1R, DPP4, ERBB2, NAMPT, CXCR2, AKT1, HAS2, CTSH, CAPN1, CSNK2A1, INSR, AVPR1A, MIF, SIRT1, IL2, CDC25B, VEGFA, BMP4, AR, HCK, ADAM17, IL6, CDK4, CDK2, BCL2, PTPN6, EPHA1, NOX1, FGFR1, BCL2L1	211	545	19453	5.920735684160181	3.3595348725157237E-13	4.797193404102838E-14	4.320010583668286E-14
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	21	9.95260663507109	2.960665337088908E-15	APP, MAP2K1, SYK, ROCK2, IGFBP4, CHRNA7, INSR, IGFBP3, HMGB1, MMP8, TNF, SOD1, IGF1R, VEGFA, BMP4, AR, IL6, ERBB2, ADORA1, IGFBP6, FGFR1	211	172	19453	11.256282376281273	9.070744155792454E-12	1.2798533300044338E-12	1.1525447205096106E-12
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	27	12.796208530805686	3.806958777868487E-15	TOP2A, APP, HTT, HMGB1, PTGS2, TNF, MAPK8, ABL1, HMOX1, CTSD, MCL1, SNCA, JUN, ACE, DAPK1, BAD, MMP2, IGFBP3, MMP9, SIRT1, SOD1, BMP4, IL6, BCL2, BAX, PPARG, BCL2L1	211	336	19453	7.408471563981042	1.142241856655346E-11	1.4399821577287551E-12	1.2967453337114533E-12
GOTERM_BP_DIRECT	GO:0022617~extracellular matrix disassembly	13	6.161137440758294	5.145017152054351E-14	PRSS1, MMP7, MMP1, MMP2, MMP3, MMP8, MMP9, CTSS, MMP10, MMP12, MMP14, MMP13, CTSG	211	46	19453	26.05491448588502	1.55546464597478E-10	1.729869100235163E-11	1.5577968599275674E-11
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	20	9.47867298578199	5.908239278269811E-14	CREBBP, ACE, VCAM1, CHRNA7, MMP2, CXCR4, PLAT, ABAT, HIF1A, TNF, VEGFA, DPP4, MMP14, ADAM17, PLAU, CAT, ADORA1, CD38, HMOX1, PPARA	211	176	19453	10.476626454114605	1.787272552178365E-10	1.787833205604445E-11	1.6099952033285234E-11
