Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	115	54.502369668246445	6.686994390695544E-17	RB1, APP, NCF1, MPI, PEBP1, AHR, COMT, MYLK, NR3C2, RGS4, RPS6KA3, CCND3, HPGDS, CCND1, RPS6KA1, CHEK1, NAMPT, PIM1, AKT1, NEK2, CAPN1, EPHB2, SKP1, MAP2K1, G6PD, CSNK2A1, PRKCD, MIF, CDC25C, CDC25A, CDC25B, AR, ADAM17, TAGLN2, EZR, PFKFB3, HIF1A, LDHB, LDHA, CCNB1, TERT, ABL1, HMOX1, NAE1, APOB, MCL1, CREBBP, NEK6, PLK1, BRAF, NFKB1, CDK6, CDK4, TBXAS1, CDK2, PDE3A, BCL2, CDK1, BCL2L1, FGFR1, CDKN1A, HSP90AB1, THRA, PIK3CD, KIF11, PIK3CG, IKBKB, PPP3CA, XPO1, CTSH, CTSG, SREBF1, DUSP3, PARP1, SYK, PDE4D, SIRT1, CCNA2, HCK, MMP14, PIK3CA, LCK, CAT, PPARG, TKT, MGLL, ROCK2, HDAC1, GSTP1, HTT, TYMS, HDAC6, RELA, RXRB, MAPK8, POLD1, ALOX5, ERBB2, STAT6, SNCA, CDKN2D, BAD, STAT1, STAT3, NR1H3, MAPK14, MTOR, SOD1, MAPK10, FABP3, RPS6KB1, FABP5, ALOX5AP, BAX, PTPN6	211	5627	20647	1.9998408148929878	4.263256414560601E-14	2.567805846027089E-14	2.2200821377109206E-14
GOTERM_CC_DIRECT	GO:0005615~extracellular space	58	27.488151658767773	2.796160204617388E-13	APP, PRSS1, CXCL8, PLAT, HMGB1, MPO, TNF, CTSS, ICAM1, IGHG1, PLAU, NAMPT, CHEK1, CTSH, CTSG, GUSB, CTSD, CTSC, IGFBP1, MMP7, IGFBP5, IGFBP4, MMP1, IGFBP3, MMP2, IGFBP2, MMP3, MIF, MMP8, MMP9, F3, MMP10, MMP12, MMP14, MMP13, SLPI, CAT, EZR, GSTP1, TNFRSF11B, EGFR, ALOX5, HMOX1, IGFBP6, APOB, SNCA, GABBR1, ACE, VCAM1, IL2, SOD1, VEGFA, BMP4, IL6, FABP3, BMP1, FABP5, AXL	211	1990	20647	2.8519993331586844	1.0739142908278154E-10	5.368627592865385E-11	4.641625939664864E-11
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	33	15.639810426540285	8.958218343570649E-13	TOP2A, APP, CDKN1A, HSP90AB1, HDAC1, CXCR4, HTT, AHR, KIF11, PTGS2, HIF1A, TNF, EGFR, RGS4, XPO1, CHEK1, ABL1, AKT1, NEK2, NAE1, SNCA, SREBF1, SYK, PARP1, STAT1, NEK6, SOD1, AR, CAT, BCL2, PTPN6, ERCC5, EZR	211	697	20647	4.6329292091359715	3.440021600908949E-10	1.1466519479770431E-10	9.913761633551518E-11
GOTERM_CC_DIRECT	GO:0005576~extracellular region	60	28.436018957345972	1.801780823329523E-12	APP, PRSS1, CXCL8, HSP90AB1, PLAT, HMGB1, MPO, TNF, CTSS, IGHG1, PLAU, CTSH, CTSG, CAPN1, EPHB2, GUSB, CTSD, CTSC, IGFBP1, ST6GAL1, MMP7, IGFBP5, IGFBP4, MMP1, IGFBP3, MMP2, IGFBP2, PRKCD, MMP3, MIF, MMP8, MMP9, MPEG1, MMP10, MMP12, MMP13, SLPI, CAT, TAGLN2, MET, GSTP1, TNFRSF11B, DPP4, ALOX5, IGFBP6, APOB, SNCA, ACE, MAPK14, NFKB1, IL2, SOD1, VEGFA, BMP4, IL6, BMP1, FABP5, QPCT, PTPN6, FGFR1	211	2208	20647	2.6590511024108796	6.9188388351904E-10	1.7297095903963422E-10	1.495478083363504E-10
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	85	40.28436018957346	9.551502697206553E-12	RB1, TOP2A, CDKN1A, HSP90AB1, THRA, RORA, AHR, HMGB1, MPO, NR3C2, PPP3CA, RPS6KA3, CCND3, HPGDS, XPO1, CCND1, CHEK2, RPS6KA1, CHEK1, PIM1, AKT1, NEK2, SCN5A, EPHB2, CTSC, SKP1, SREBF1, DUSP3, PARP1, CSNK2A1, PRKCD, MIF, CDC25C, SIRT1, CDC25A, CDC25B, CCNA2, AR, PPARG, TKT, PPARA, MGLL, CSF1R, PFKFB3, HDAC1, HTT, HIF1A, HDAC6, RELA, RXRB, NUAK1, MAPK8, CCNB1, TERT, POLD1, ALOX5, ERBB2, CXCR2, ABL1, HMOX1, STAT6, MCL1, CDKN2D, JUN, CREBBP, STAT1, NEK6, PLK1, STAT3, NR1H3, MAPK14, MTOR, NFKB1, SOD1, MAPK10, CDK6, RPS6KB1, FABP5, CDK4, CCNG1, CDK2, BCL2, CDK1, PTPN6, ERCC5	211	4076	20647	2.0406064397304298	3.6677647585747764E-9	7.335554071454632E-10	6.342197790945152E-10
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	104	49.28909952606635	6.300610009619973E-11	APP, NCF1, PLAT, AHR, MYLK, IGF1R, RGS4, RPS6KA3, CCND3, HPGDS, CCND1, CHEK2, RPS6KA1, CHEK1, NAMPT, PIM1, AKT1, NEK2, CAPN1, SKP1, G6PD, DAPK1, PRKCD, MIF, CDC25C, CDC25A, CDC25B, AR, ADAM17, EZR, HIF1A, LDHB, LDHA, CCNB1, NUAK1, TERT, ABL1, NAE1, APOB, MCL1, CREBBP, NEK6, PLK1, NFKB1, CDK6, CDK4, CDK2, BCL2, CDK1, BCL2L1, CDKN1C, TOP2A, HSP90AB1, PIK3CD, KIF11, PIK3CG, IKBKB, PPP3CA, LASP1, XPO1, CTSG, SREBF1, DUSP3, SYK, MME, MMP3, SIRT1, CCNA2, MMP12, HCK, MMP14, PIK3CA, CAT, PPARG, ROCK2, HDAC1, GSTP1, CXCR4, HTT, PTGS2, TYMS, HDAC6, RELA, EGFR, PTGS1, RXRB, MAPK8, ALOX5, STAT6, SNCA, CDKN2D, STAT1, STAT3, NR1H3, MAPK14, MTOR, SOD1, VEGFA, MAPK10, RPS6KB1, FABP5, CCNG1, BAX, PTPN6	211	5771	20647	1.7634240823335503	2.419432088007767E-8	4.032390406156783E-9	3.4863375386563853E-9
GOTERM_CC_DIRECT	GO:1904813~ficolin-1-rich granule lumen	14	6.6350710900473935	4.838404680370606E-10	HSP90AB1, GSTP1, HMGB1, MIF, MAPK14, MMP9, CTSS, QPCT, ALOX5, CAT, CTSH, CAPN1, GUSB, CTSD	211	125	20647	10.959545023696684	1.857947437011731E-7	2.6542105675175892E-8	2.294786219832916E-8
GOTERM_CC_DIRECT	GO:0000307~cyclin-dependent protein kinase holoenzyme complex	10	4.739336492890995	6.33172837507196E-10	CCNA2, CCND3, CDKN1A, CCNB1, CDK6, CCND1, CDK4, CCNG1, CDK2, CDK1	211	45	20647	21.745129015271196	2.431383439027712E-7	3.039229620034541E-8	2.6276672756548635E-8
GOTERM_CC_DIRECT	GO:0009986~cell surface	28	13.270142180094787	7.48613727909994E-10	CSF1R, APP, HSP90AB1, CXCR4, PLAT, HMGB1, TNF, EGFR, ICAM1, DPP4, PLAU, CA4, CXCR2, KISS1R, CD38, CTSG, SCN5A, EPHB2, ROS1, VCAM1, MME, MIF, F3, VEGFA, ADAM17, RPS6KB1, AXL, MET	211	657	20647	4.17029871525749	2.8746762981146645E-7	3.0913814844290415E-8	2.6727569084126092E-8
GOTERM_CC_DIRECT	GO:0005634~nucleus	105	49.763033175355446	8.05047261570063E-10	RB1, APP, PEBP1, RORA, AHR, MPO, IGF1R, NR3C2, RGS4, CCND3, CCND1, CHEK2, CHEK1, NAMPT, PIM1, AKT1, NEK2, SKP1, MAP2K1, G6PD, CSNK2A1, DAPK1, IGFBP3, PRKCD, CDC25C, CDC25A, CDC25B, AR, HIF1A, LDHA, CCNB1, NUAK1, TERT, ABL1, HMOX1, NAE1, MCL1, CREBBP, JUN, NEK6, PLK1, BRAF, NFKB1, CDK6, CDK4, CDK2, BCL2, CDK1, FGFR1, CDKN1C, TOP2A, CDKN1A, HSP90AB1, THRA, HMGB1, KIF11, IKBKB, XPO1, CD38, CTSG, SREBF1, DUSP3, PARP1, SYK, PDE4D, MMP2, MMP3, SIRT1, CCNA2, MMP12, HCK, MMP14, PPARG, PPARA, ROCK2, HDAC1, GSTP1, CXCR4, HTT, TYMS, HDAC6, RELA, EGFR, RXRB, MAPK8, POLD1, ERBB2, STAT6, SNCA, CDKN2D, STAT1, STAT3, NR1H3, MAPK14, MTOR, SOD1, VEGFA, MAPK10, FABP3, RPS6KB1, FABP5, CCNG1, BAX, ERCC5, PTPN6	211	6100	20647	1.6843563048714163	3.091380967878976E-7	3.0913814844290415E-8	2.6727569084126092E-8
