Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004712~protein serine/threonine/tyrosine kinase activity	41	19.431279620853083	3.769102899965185E-25	CSF1R, ROCK2, EGFR, PIK3CG, IGF1R, IKBKB, RPS6KA3, MAPK8, NUAK1, CHEK2, ERBB2, CHEK1, RPS6KA1, ABL1, PIM1, AKT1, NEK2, EPHB2, ROS1, MAP2K1, SYK, CSNK2A1, DAPK1, NEK6, INSR, PRKCD, PLK1, MAPK14, MTOR, HCK, CDK6, PIK3CA, RPS6KB1, LCK, AXL, CDK4, CDK2, CDK1, EPHA1, MET, FGFR1	210	444	18967	8.340272415272416	2.4122258559777183E-22	2.4122258559777183E-22	2.1295431384803296E-22
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	33	15.639810426540285	2.871911409804334E-19	ROCK2, EGFR, PIK3CG, MYLK, IKBKB, RPS6KA3, MAPK8, NUAK1, CCND1, CHEK2, ERBB2, CHEK1, RPS6KA1, ABL1, AKT1, NEK2, MAP2K1, SYK, CSNK2A1, DAPK1, NEK6, PRKCD, PLK1, BRAF, MAPK14, MTOR, MAPK10, RPS6KB1, CDK4, CDK2, CDK1, EPHA1, MET	210	382	18967	7.80243081525804	1.8380233022747738E-16	9.190116511373869E-17	8.113149732697245E-17
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	30	14.218009478672986	2.804806048038364E-16	TOP2A, APP, HSP90AB1, HDAC1, PEBP1, PTGS2, HIF1A, RELA, HDAC6, EGFR, PPP3CA, MAPK8, CCND1, POLD1, AKT1, HMOX1, SCN5A, JUN, PARP1, STAT1, PDE4D, PRKCD, MAPK14, SIRT1, NFKB1, AR, SLPI, CAT, ALOX5AP, PPARG	210	386	18967	7.01961509992598	2.1316282072803006E-13	5.983586235815176E-14	5.282384723805585E-14
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	33	15.639810426540285	2.567309332477091E-15	CDKN1A, HSP90AB1, PEBP1, KIF11, HIF1A, RELA, IKBKB, RGS4, RPS6KA3, CCND3, CCNB1, CCND1, CHEK2, AKT1, SCN5A, CDKN2D, SREBF1, DUSP3, SYK, PARP1, BAD, NEK6, PRKCD, PLK1, STAT3, CDC25C, CDC25A, CDC25B, CCNA2, LCK, PTPN6, EPHA1, BCL2L1	210	521	18967	5.720784206196874	1.6342482922482304E-12	4.107694931963346E-13	3.6263244321238914E-13
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	59	27.96208530805687	6.182984461262846E-15	RB1, APP, HSP90AB1, ABAT, TNF, PIK3CG, IGF1R, IKBKB, CHEK2, NAMPT, CD38, AKT1, EPHB2, CTSC, G6PD, PARP1, CSNK2A1, DAPK1, MIF, MMP9, SIRT1, SOAT1, LCK, CAT, PPARG, EZR, MET, MAOB, HTT, EGFR, RELA, DPP4, LDHB, LDHA, TERT, ERBB2, HMOX1, HAS2, STAT6, IGFBP6, SNCA, JUN, STAT1, INSR, PLK1, STAT3, BRAF, MTOR, NFKB1, SOD1, VEGFA, BMP1, RPS6KB1, FABP5, ALOX5AP, BCL2, BAX, FGFR1, BCL2L1	210	1736	18967	3.0695989686197063	3.979039320256561E-12	7.914220110416443E-13	6.986772441227015E-13
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	28	13.270142180094787	4.936929339209263E-14	ROCK2, PIK3CG, IKBKB, RPS6KA3, MAPK8, NUAK1, CHEK2, CHEK1, RPS6KA1, PIM1, AKT1, NEK2, MAP2K1, SYK, CSNK2A1, DAPK1, NEK6, PRKCD, PLK1, BRAF, MAPK14, MTOR, MAPK10, PIK3CA, RPS6KB1, CDK4, CDK2, CDK1	210	400	18967	6.322333333333334	3.161915174132446E-11	5.266057961823214E-12	4.6489417944220566E-12
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	20	9.47867298578199	2.5487324696189245E-13	PRSS1, MMP7, MMP1, MMP2, MMP3, PLAT, MMP8, F3, MMP9, CTSS, MMP10, MMP12, DPP4, MMP14, MMP13, BMP1, PLAU, CTSH, CTSG, CTSC	210	187	18967	9.659791189202952	1.63140612130519E-10	2.330269686508731E-11	2.057191207620989E-11
GOTERM_MF_DIRECT	GO:0004713~protein tyrosine kinase activity	16	7.5829383886255926	2.0670086022117312E-12	CSF1R, MAP2K1, SYK, INSR, BRAF, EGFR, IGF1R, HCK, AXL, LCK, ERBB2, ABL1, EPHB2, MET, ROS1, FGFR1	210	114	18967	12.67635756056809	1.3228884654381545E-9	1.5525981505070286E-10	1.370653054744486E-10
GOTERM_MF_DIRECT	GO:0005524~ATP binding	51	24.170616113744074	2.1833411491505087E-12	TOP2A, HSP90AB1, PIK3CD, PEBP1, KIF11, PIK3CG, IGF1R, MYLK, IKBKB, RPS6KA3, CHEK2, RPS6KA1, CHEK1, PIM1, AKT1, NEK2, EPHB2, ROS1, ABCC1, MAP2K1, CSNK2A1, SYK, DAPK1, PRKCD, HCK, PIK3CA, LCK, EPHA1, MET, CSF1R, PFKFB3, ROCK2, EGFR, NUAK1, MAPK8, ERBB2, ABL1, NEK6, INSR, PLK1, BRAF, MAPK14, MTOR, MAPK10, CDK6, RPS6KB1, AXL, CDK4, CDK2, CDK1, FGFR1	210	1539	18967	2.9930288684674653	1.397353344145813E-9	1.5525981505070286E-10	1.370653054744486E-10
GOTERM_MF_DIRECT	GO:0004175~endopeptidase activity	14	6.6350710900473935	3.3824141165674953E-12	ACE, MMP7, MME, MMP1, MMP2, MMP3, ECE1, MMP8, MMP9, MMP12, MMP14, ADAM17, MMP13, CTSH	210	79	18967	16.00590717299578	2.1647394987667212E-9	2.164745034603197E-10	1.911063975860635E-10
GOTERM_MF_DIRECT	GO:0004222~metalloendopeptidase activity	15	7.109004739336493	2.3375890720947496E-11	ACE, MMP7, MME, MMP1, MMP2, MMP3, ECE1, MMP8, MMP9, MMP10, MMP12, MMP14, ADAM17, MMP13, BMP1	210	112	18967	12.096301020408163	1.4960548244680183E-8	1.3600518237642178E-9	1.2006707506668488E-9
GOTERM_MF_DIRECT	GO:0031994~insulin-like growth factor I binding	8	3.7914691943127963	2.894252437795407E-11	IGFBP1, IGFBP5, IGFBP4, INSR, IGFBP3, IGFBP2, IGFBP6, IGF1R	210	13	18967	55.58095238095238	1.8523209410759023E-8	1.5436013001575503E-9	1.3627105227953375E-9
GOTERM_MF_DIRECT	GO:0031995~insulin-like growth factor II binding	7	3.3175355450236967	4.580725752808003E-11	IGFBP1, IGFBP5, IGFBP4, INSR, IGFBP3, IGFBP2, IGFBP6	210	8	18967	79.02916666666667	2.9316637562004644E-8	2.1205053743227057E-9	1.8720086507692635E-9
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	33	15.639810426540285	4.6386055063309184E-11	TOP2A, CSF1R, APP, HSP90AB1, CHRNA7, ECE1, AHR, TYMS, PTGS2, RELA, DPP4, IKBKB, HPGDS, TERT, CHEK2, AKT1, HMOX1, MCL1, ST6GAL1, G6PD, PARP1, MME, STAT1, STAT3, VEGFA, CAT, BCL2, BAX, ERCC5, TKT, MGLL, FGFR1, BCL2L1	210	749	18967	3.9793438870875453	2.9687043490156384E-8	2.1205053743227057E-9	1.8720086507692635E-9
GOTERM_MF_DIRECT	GO:0001223~transcription coactivator binding	11	5.213270142180095	9.661050668357864E-11	AR, CREBBP, TERT, STAT1, STAT6, RORA, AHR, PPARA, HIF1A, RELA, NFKB1	210	48	18967	20.698115079365078	6.183071643572902E-8	4.122048285166022E-9	3.6389957517481286E-9
GOTERM_MF_DIRECT	GO:0016301~kinase activity	19	9.004739336492891	1.0466680514753766E-10	CDKN1C, CDKN1A, SYK, CSNK2A1, DAPK1, PIK3CD, EGFR, MTOR, PIK3CG, MYLK, RPS6KA3, PIK3CA, PLAU, CDK4, CHEK2, ERBB2, CDK1, ABL1, AKT1	210	232	18967	7.39681855500821	6.698676946470528E-8	4.186672205901506E-9	3.696046556772424E-9
